datetime,104,1111,Total
2021/09/29,10,8,18
2021/09/29,7,8,15
2021/09/30,6,7,13
2021/09/30,11,7,18
2021/09/30,6,7,13
2021/10/01,2,7,9
2021/10/01,2,7,9
2021/10/01,5,7,12
2021/10/02,8,7,15
2021/10/02,8,7,15
2021/10/02,14,7,21
2021/10/03,8,7,15
2021/10/03,6,7,13
2021/10/03,6,7,13
2021/10/04,6,6,12
2021/10/04,3,6,9
2021/10/04,8,6,14
2021/10/05,3,6,9
2021/10/05,7,6,13
2021/10/05,7,6,13
2021/10/06,4,7,11
2021/10/06,8,7,15
2021/10/06,10,7,17
2021/10/07,5,7,12
2021/10/07,12,7,19
2021/10/07,5,7,12
2021/10/07,10,7,17
2021/10/08,7,7,14
2021/10/08,3,7,10
2021/10/08,7,7,14
2021/10/09,6,7,13
2021/10/09,5,7,12
2021/10/09,3,7,10
2021/10/10,3,7,10
2021/10/10,3,7,10
2021/10/10,4,7,11
2021/10/11,4,7,11
2021/10/11,3,7,10
2021/10/11,4,7,11
2021/10/12,4,8,12
2021/10/12,2,8,10
2021/10/12,6,8,14
2021/10/13,6,8,14
2021/10/13,7,8,15
2021/10/13,7,8,15
2021/10/14,2,7,9
2021/10/14,6,7,13
2021/10/14,6,7,13
2021/10/15,3,7,10
2021/10/15,5,6,11
2021/10/15,3,6,9
2021/10/16,5,5,10
2021/10/16,2,5,7
2021/10/16,8,5,13
2021/10/17,2,5,7
2021/10/17,1,5,6
2021/10/17,1,5,6
